"Región";"Departamento";"Municipio";"Devengado"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"CHIANTLA";"22389331.96"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"COLOTENANGO";"9076716.1"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"CONCEPCION HUISTA";"6457210.52"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"CUILCO";"13843027.96"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"HUEHUETENANGO";"63585345.36"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"JACALTENANGO";"12124340.56"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"LA DEMOCRACIA";"13687979.47"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"LA LIBERTAD";"8293000.72"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"MALACATANCITO";"6604028.93"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"MULTIMUNICIPAL";"40883075.92"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"NENTON";"10239763.91"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"PETATAN";"2276755.35"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN ANTONIO HUISTA";"5409363.76"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN GASPAR IXCHIL";"3701871.57"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN ILDEFONSO IXTAHUACAN";"10422752.74"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN JUAN ATITAN";"5021005.17"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN JUAN IXCOY";"6348315.31"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN MATEO IXTATAN";"10147475.01"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN MIGUEL ACATAN";"7551944.56"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN PEDRO NECTA";"10817215.34"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN RAFAEL LA INDEPENDENCIA";"5180040.14"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN RAFAEL PETZAL";"4391191.28"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN SEBASTIAN COATAN";"6523396.62"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SAN SEBASTIAN HUEHUETENANGO";"8044852.84"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SANTA ANA HUISTA";"4472530.54"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SANTA BARBARA";"7594624.14"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SANTA EULALIA";"10474582.99"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SANTIAGO CHIMALTENANGO";"3921333.87"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"SOLOMA";"10134716.09"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"TECTITAN";"4579222.54"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"TODOS SANTOS CUCHUMATAN";"8031353.17"
"REGIÓN VII NOROCCIDENTE";"HUEHUETENANGO";"UNION CANTINIL";"5167252.26"
"REGIÓN VIII PETEN";"PETEN";"DOLORES";"11544429.91"
"REGIÓN VIII PETEN";"PETEN";"EL CHAL";"4868211.04"
"REGIÓN VIII PETEN";"PETEN";"FLORES";"52440073.51"
"REGIÓN VIII PETEN";"PETEN";"LA LIBERTAD";"22066012.63"
"REGIÓN VIII PETEN";"PETEN";"LAS CRUCES";"11786683.63"
"REGIÓN VIII PETEN";"PETEN";"MELCHOR DE MENCOS";"12355270.63"
"REGIÓN VIII PETEN";"PETEN";"MULTIMUNICIPAL";"25846073.86"
"REGIÓN VIII PETEN";"PETEN";"POPTUN";"29379296.87"
"REGIÓN VIII PETEN";"PETEN";"SAN ANDRES";"11915511.42"
"REGIÓN VIII PETEN";"PETEN";"SAN BENITO";"22125435.89"
"REGIÓN VIII PETEN";"PETEN";"SAN FRANCISCO";"7200148.38"
"REGIÓN VIII PETEN";"PETEN";"SAN JOSE";"4517456.9"
"REGIÓN VIII PETEN";"PETEN";"SAN LUIS";"23578426.1"
"REGIÓN VIII PETEN";"PETEN";"SANTA ANA";"8965397.45"
"REGIÓN VIII PETEN";"PETEN";"SAYAXCHE";"27027152.83"
"MULTIREGIÓNAL";"MULTIREGIONAL";"MULTIREGIONAL";"1087254644.76"
"SERVICIOS EN EL EXTERIOR";"SERVICIOS EN EL EXTERIOR";"SERVICIOS EN EL EXTERIOR";"36307823.52"
"DEUDA PÚBLICA";"SERVICIOS DE LA DEUDA PUBLICA";"SERVICIOS DE LA DEUDA PUBLICA";"1307528996.96"
